"","species","SPID","spp","diff","sgn"
"1","Argia translata",1,1,0.192053785456391,1
"2","Epitheca cynosura",2,2,0.103876734278377,1
"3","Pachydiplax longipennis",3,3,0.142789263734644,1
"4","Enallagma hageni",4,4,0.12701508480296,1
"5","Argia tibialis",5,5,0.175860417281478,1
"6","Celithemis elisa",6,6,0.0721855577345294,1
"7","Argia moesta",7,7,0.193806028222209,1
"8","Ischnura verticalis",8,8,0.200523508555494,1
"9","Argia apicalis",9,9,0.135423278014497,1
"10","Enallagma pictum",10,10,-0.00924052352684318,-1
"11","Erythemis simplicicollis",11,11,0.129118561426631,1
"12","Enallagma divagans",12,12,0.107373505945365,1
"13","Enallagma exsulans",13,13,0.193985876920029,1
"14","Enallagma geminatum",14,14,0.199101706104725,1
"15","Ischnura posita",15,15,0.306305588190678,1
"16","Didymops transversa",16,16,0.106403337945062,1
"17","Enallagma minusculum",17,17,-0.0675947104393603,-1
"18","Cordulegaster bilineata",18,18,0.0435449005572338,1
"19","Cordulia shurtleffii",19,19,0.229686844413369,1
"20","Calopteryx maculata",20,20,0.179577896297156,1
"21","Boyeria vinosa",21,21,0.101537107723649,1
"22","Sympetrum rubicundulum",22,22,0.0186147301589263,1
"23","Enallagma civile",23,23,0.203992628621496,1
"24","Cordulegaster erronea",24,24,0.139287115061964,1
"25","Calopteryx dimidiata",25,25,0.0622927128237182,1
"26","Gomphus lividus",26,26,0.10245292249798,1
"27","Sympetrum obtrusum",27,27,0.0833777682805995,1
"28","Sympetrum vicinum",28,28,0.196049294974318,1
"29","Macromia illinoiensis",29,29,0.140528297355545,1
"30","Hetaerina titia",30,30,0.0927536048683192,1
"31","Enallagma aspersum",31,31,0.187296724491481,1
"32","Gomphus exilis",32,32,-0.0287583620178955,-1
"33","Argia sedula",33,33,0.0407420824921635,1
"34","Nannothemis bella",34,34,0.0774062217967076,1
"35","Libellula luctuosa",35,35,0.188334540832142,1
"36","Chromagrion conditum",36,36,0.251672919186078,1
"37","Libellula needhami",37,37,-0.0676137678574981,-1
"38","Amphiagrion saucium",38,38,0.200348044515046,1
"39","Erythrodiplax berenice",39,39,-0.0711715760086268,-1
"40","Perithemis tenera",40,40,0.330310274004417,1
"41","Libellula auripennis",41,41,0.0173022306923131,1
"42","Dromogomphus spinosus",42,42,0.0747627794533223,1
"43","Enallagma traviatum",43,43,0.210171417374482,1
"44","Nehalennia gracilis",44,44,0.0579491096568768,1
"45","Aeshna umbrosa",45,45,0.130151108357588,1
"46","Lestes australis",46,46,0.141998051468539,1
"47","Argia fumipennis",47,47,0.143704371225308,1
"48","Ophiogomphus aspersus",48,48,0.0509441309001819,1
"49","Lestes rectangularis",49,49,0.207816687664938,1
"50","Ophiogomphus carolus",50,50,-0.00188527407876704,-1
"51","Libellula vibrans",51,51,0.121357974820632,1
"52","Arigomphus villosipes",52,52,0.1942211168714,1
"53","Tachopteryx thoreyi",53,53,0.0229031711200426,1
"54","Leucorrhinia hudsonica",54,54,0.063525768292485,1
"55","Gomphus crassus",55,55,0.035926970731797,1
"56","Plathemis lydia",56,56,0.126008227435855,1
"57","Lestes disjunctus",57,57,0.15643398357486,1
"58","Pantala hymenaea",58,58,0.0843952692510476,1
"59","Enallagma annexum",59,59,0.221935919340555,1
"60","Lestes congener",60,60,0.0363253477747209,1
"61","Calopteryx aequabilis",61,61,0.161079763891491,1
"62","Lestes vigilax",62,62,0.166355152486348,1
"63","Libellula incesta",63,63,0.118243660481129,1
"64","Epitheca canis",64,64,0.157396886439617,1
"65","Enallagma dubium",65,65,-0.0152997348364509,-1
"66","Sympetrum janeae",66,66,0.0200447011868233,1
"67","Archilestes grandis",67,67,0.0341214685868578,1
"68","Somatochlora elongata",68,68,0.00111609795302964,1
"69","Ischnura hastata",69,69,0.16234914278556,1
