"","species","SPID","spp","diff","sgn"
"1","Argia translata",1,1,0.243491072724996,1
"2","Epitheca cynosura",2,2,0.0640952777567729,1
"3","Pachydiplax longipennis",3,3,0.107273555458403,1
"4","Enallagma hageni",4,4,0.224023329162496,1
"5","Argia tibialis",5,5,0.191647306306621,1
"6","Celithemis elisa",6,6,0.107601240659459,1
"7","Argia moesta",7,7,0.167552111913683,1
"8","Ischnura verticalis",8,8,0.115447263105756,1
"9","Argia apicalis",9,9,0.243660572362642,1
"10","Enallagma pictum",10,10,0.159984064149544,1
"11","Erythemis simplicicollis",11,11,0.0760186049967005,1
"12","Enallagma divagans",12,12,0.106375927481869,1
"13","Enallagma exsulans",13,13,0.113118690892711,1
"14","Enallagma geminatum",14,14,0.203612587044167,1
"15","Ischnura posita",15,15,0.112013433064448,1
"16","Didymops transversa",16,16,0.0390519162107813,1
"17","Enallagma minusculum",17,17,0.0607787070994159,1
"18","Cordulegaster bilineata",18,18,0.0582380277727949,1
"19","Cordulia shurtleffii",19,19,0.364452241270916,1
"20","Calopteryx maculata",20,20,0.0509488719435354,1
"21","Boyeria vinosa",21,21,0.062496735846954,1
"22","Sympetrum rubicundulum",22,22,-0.0608950177357183,-1
"23","Enallagma civile",23,23,0.125439988800387,1
"24","Cordulegaster erronea",24,24,-0.0696565375464113,-1
"25","Calopteryx dimidiata",25,25,0.0661808008809562,1
"26","Gomphus lividus",26,26,-0.0493874384692997,-1
"27","Sympetrum obtrusum",27,27,0.29311665154445,1
"28","Sympetrum vicinum",28,28,0.0207600255148005,1
"29","Macromia illinoiensis",29,29,0.082005226769962,1
"30","Hetaerina titia",30,30,0.0676416043774291,1
"31","Enallagma aspersum",31,31,0.247188072065623,1
"32","Gomphus exilis",32,32,-0.336249135706102,-1
"33","Argia sedula",33,33,0.0576310184373968,1
"34","Nannothemis bella",34,34,0.276731816872963,1
"35","Libellula luctuosa",35,35,0.0688040155206312,1
"36","Chromagrion conditum",36,36,0.192415260492904,1
"37","Libellula needhami",37,37,-0.0154953811376076,-1
"38","Amphiagrion saucium",38,38,0.153843791265177,1
"39","Erythrodiplax berenice",39,39,0.116203029594573,1
