"","Var1","Freq","spp","diff","sgn"
"1","",7087,1,0.231020120428508,1
"2","Aeshna canadensis",1033,2,0.0884576147579633,1
"3","Aeshna clepsydra",139,3,0.0919818292678904,1
"4","Aeshna constricta",708,4,0.267913985778841,1
"5","Aeshna eremita",259,5,0.184905261593987,1
"6","Aeshna interrupta",396,6,0.0992001555174592,1
"7","Aeshna tuberculifera",360,7,0.144464748194786,1
"8","Aeshna umbrosa",1270,8,0.128838458035446,1
"9","Aeshna verticalis",259,9,0.215583093081709,1
"10","Amphiagrion saucium",952,10,0.100965408471821,1
"11","Anax junius",1796,11,0.0639078348548909,1
"12","Anax longipes",153,12,0.102706193634988,1
"13","Aphylla williamsoni",120,13,0.124647279276999,1
"14","Archilestes grandis",205,14,0.226071227233161,1
"15","Argia apicalis",1875,15,0.113841857117868,1
"16","Argia bipunctulata",407,16,0.0414687516175682,1
"17","Argia fumipennis",3582,17,0.0224066126368357,1
"18","Argia moesta",2169,18,-0.0443994565705259,-1
"19","Argia sedula",1001,19,0.306013751305745,1
"20","Argia tibialis",1327,20,0.0845500912487726,1
"21","Argia translata",336,21,0.0848590690910247,1
"22","Arigomphus furcifer",222,22,-0.168687181255972,-1
"23","Arigomphus pallidus",123,23,0.103090240290656,1
"24","Arigomphus villosipes",620,24,-0.0750602800047993,-1
"25","Basiaeschna janata",863,25,0.0140857962354815,1
"26","Boyeria grafiana",308,26,-0.0671595339148898,-1
"27","Boyeria vinosa",1368,27,0.257093140622277,1
"28","Brachymesia gravida",195,28,0.0670482678971285,1
"29","Calopteryx aequabilis",607,29,0.0910970983038725,1
"30","Calopteryx amata",224,30,0.000138136497656843,1
"31","Calopteryx dimidiata",620,31,0.308288636388032,1
"32","Calopteryx maculata",4057,32,-0.358363053389963,-1
"33","Celithemis amanda",320,33,0.0275759301657139,1
"34","Celithemis bertha",201,34,0.185401875949915,1
"35","Celithemis elisa",1879,35,0.0782299367284134,1
"36","Celithemis eponina",1405,36,0.18137355429891,1
"37","Celithemis fasciata",705,37,-0.0366859453427831,-1
"38","Celithemis martha",156,38,0.0738562764499562,1
"39","Celithemis ornata",324,39,0.0902852912126498,1
"40","Chromagrion conditum",946,40,0.119010241441642,1
"41","Coenagrion resolutum",186,41,0.0540872205128015,1
"42","Cordulegaster bilineata",163,42,0.0845484774420731,1
"43","Cordulegaster diastatops",280,43,0.3511362741755,1
"44","Cordulegaster erronea",125,44,0.335251079511086,1
"45","Cordulegaster maculata",782,45,0.0617179603300063,1
"46","Cordulegaster obliqua",194,46,-0.0295452319908026,-1
"47","Cordulia shurtleffii",571,47,0.0773634337839112,1
"48","Coryphaeschna ingens",180,48,0.26672599692599,1
"49","Didymops transversa",628,49,0.16793835109555,1
"50","Dorocordulia libera",592,50,0.0738861394219728,1
"51","Dromogomphus spinosus",944,51,0.100187194262405,1
"52","Dromogomphus spoliatus",220,52,0.165456029292386,1
"53","Enallagma annexum",217,53,0.0734760387964078,1
"54","Enallagma antennatum",751,54,0.154040344604002,1
"55","Enallagma aspersum",1001,55,-0.000226089810000968,-1
"56","Enallagma basidens",664,56,0.13171682735656,1
"57","Enallagma boreale",532,57,0.0984640600211336,1
"58","Enallagma cardenium",134,58,0.162019175754617,1
"59","Enallagma carunculatum",1036,59,0.0673774833958846,1
"60","Enallagma civile",1952,60,0.10139799958746,1
"61","Enallagma daeckii",127,61,0.186698719138526,1
"62","Enallagma divagans",483,62,0.156870330104006,1
"63","Enallagma doubledayi",608,63,0.0620876742972746,1
"64","Enallagma dubium",102,64,0.0806304448323261,1
"65","Enallagma durum",284,65,0.235989274475017,1
"66","Enallagma ebrium",1452,66,0.057386822926199,1
"67","Enallagma exsulans",2327,67,-0.0527869503838515,-1
"68","Enallagma geminatum",1189,68,0.337288349164581,1
"69","Enallagma hageni",1940,69,0.167584851671762,1
"70","Enallagma minusculum",171,70,0.0392139328410551,1
"71","Enallagma pictum",126,71,-0.154127397475979,-1
"72","Enallagma pollutum",214,72,0.0999405581683028,1
"73","Enallagma recurvatum",100,73,0.173145335209046,1
"74","Enallagma signatum",1467,74,-0.072878619981454,-1
"75","Enallagma sulcatum",171,75,0.0940826938750216,1
"76","Enallagma traviatum",559,76,0.0841916477945455,1
"77","Enallagma vernale",126,77,0.0501240775172986,1
"78","Enallagma vesperum",531,78,0.100253367492596,1
"79","Enallagma weewa",283,79,0.125140094678983,1
"80","Epiaeschna heros",406,80,0.0342245568096343,1
"81","Epitheca canis",601,81,0.148412597125222,1
"82","Epitheca cynosura",2504,82,0.292448263569073,1
"83","Epitheca princeps",791,83,0.292001696005085,1
"84","Epitheca spinigera",703,84,0.0246962365619386,1
"85","Erpetogomphus designatus",136,85,0.0698361357503867,1
"86","Erythemis simplicicollis",3088,86,0.0771222592359997,1
"87","Erythrodiplax berenice",562,87,-0.0295300653189397,-1
"88","Erythrodiplax minuscula",875,88,0.115396683885387,1
"89","Gomphaeschna furcillata",263,89,0.250396173562498,1
"90","Gomphurus fraternus",438,90,0.123562748670233,1
"91","Gomphurus lineatifrons",173,91,0.0959027862744809,1
"92","Gomphurus vastus",199,92,0.0879796483909218,1
"93","Gomphurus ventricosus",137,93,0.0637442491574596,1
"94","Gomphus crassus",134,94,0.0765258269305774,1
"95","Gomphus exilis",642,95,-0.142188243943747,-1
